source_id,region,table_id,table_label,short_name,applies_to,parameter_modules,raw_series,series_group,series_name,year,value,unit,cached_file
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Freight Air,Energy Use by Transportation Mode (PJ),Freight Air,2002,1.553402,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Passenger Rail,Energy Use by Transportation Mode (PJ),Passenger Rail,2002,0.675256,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Freight Rail,Energy Use by Transportation Mode (PJ),Freight Rail,2002,18.032744,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Marine,Energy Use by Transportation Mode (PJ),Marine,2002,14.356,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Off-Road1,Energy Use by Transportation Mode (PJ),Off-Road1,2002,34.99,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Total Energy Use (PJ),Total Energy Use (PJ),Total Energy Use (PJ),2003,796.77,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Total Energy Use (PJ)|Passenger Transportation,Total Energy Use (PJ),Passenger Transportation,2003,474.148643,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Total Energy Use (PJ)|Freight Transportation,Total Energy Use (PJ),Freight Transportation,2003,286.921357,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Total Energy Use (PJ)|Off-Road1,Total Energy Use (PJ),Off-Road1,2003,35.7,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Cars,Energy Use by Transportation Mode (PJ),Cars,2003,258.233283,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Passenger Light Trucks,Energy Use by Transportation Mode (PJ),Passenger Light Trucks,2003,146.205093,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Freight Light Trucks,Energy Use by Transportation Mode (PJ),Freight Light Trucks,2003,48.675887,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Medium Trucks,Energy Use by Transportation Mode (PJ),Medium Trucks,2003,70.701006,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
