source_id,year,report,raw_file,VEHICLE_CLASS,DESCRIPTOR,VALUE,FIT-ACTIVE,AGE,cached_zip
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,COMMERCIAL,YEAR,1994,3797,28,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,COMMERCIAL,YEAR,1993,2823,29,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,COMMERCIAL,YEAR,1992,2395,30,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,MOTORCYCLE,YEAR,2022,8921,0,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,MOTORCYCLE,YEAR,2021,6939,1,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,MOTORCYCLE,YEAR,2020,6767,2,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,MOTORCYCLE,YEAR,2019,8237,3,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,MOTORCYCLE,YEAR,2018,8785,4,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,MOTORCYCLE,YEAR,2017,8256,5,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,MOTORCYCLE,YEAR,2016,8112,6,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,MOTORCYCLE,YEAR,2015,8314,7,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,MOTORCYCLE,YEAR,2014,8427,8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,MOTORCYCLE,YEAR,2013,8166,9,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,MOTORCYCLE,YEAR,2012,7610,10,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,MOTORCYCLE,YEAR,2011,6768,11,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
