report_year,weight_basis,model_year,vintage,nrcan_ceud_class,nrcan_vehicle_class,fit_active_stock,aggregation_weight
2025,model_year,1992,,Light Truck,Sport utility vehicle: Small,140,0.13631937682570594
2025,model_year,1992,,Light Truck,Sport utility vehicle: Standard,13,0.012658227848101266
2025,model_year,1992,,Light Truck,Van: Cargo,18,0.017526777020447908
2025,model_year,1992,,Light Truck,Van: Passenger,29,0.028237585199610515
2025,model_year,1993,,Car,Compact,79,0.09154113557358054
2025,model_year,1993,,Car,Full-size,92,0.10660486674391657
2025,model_year,1993,,Car,Mid-size,87,0.10081112398609501
2025,model_year,1993,,Car,Minicompact,131,0.15179606025492468
2025,model_year,1993,,Car,Station wagon: Mid-size,8,0.009269988412514484
2025,model_year,1993,,Car,Subcompact,201,0.23290845886442643
2025,model_year,1993,,Car,Two-seater,265,0.3070683661645423
2025,model_year,1993,,Light Truck,Minivan,46,0.037337662337662336
2025,model_year,1993,,Light Truck,Pickup truck: Small,11,0.008928571428571428
2025,model_year,1993,,Light Truck,Pickup truck: Standard,926,0.7516233766233766
2025,model_year,1993,,Light Truck,Sport utility vehicle: Small,130,0.10551948051948051
2025,model_year,1993,,Light Truck,Sport utility vehicle: Standard,47,0.03814935064935065
2025,model_year,1993,,Light Truck,Van: Cargo,39,0.03165584415584415
2025,model_year,1993,,Light Truck,Van: Passenger,33,0.026785714285714284
2025,model_year,1994,,Car,Compact,218,0.1630516080777861
2025,model_year,1994,,Car,Full-size,63,0.04712041884816754
2025,model_year,1994,,Car,Mid-size,86,0.0643231114435303
2025,model_year,1994,,Car,Minicompact,103,0.07703814510097233
2025,model_year,1994,,Car,Station wagon: Mid-size,15,0.011219147344801795
2025,model_year,1994,,Car,Subcompact,733,0.5482423335826477
2025,model_year,1994,,Car,Two-seater,119,0.08900523560209424
2025,model_year,1994,,Light Truck,Minivan,69,0.05
2025,model_year,1994,,Light Truck,Pickup truck: Small,36,0.02608695652173913
2025,model_year,1994,,Light Truck,Pickup truck: Standard,935,0.677536231884058
2025,model_year,1994,,Light Truck,Sport utility vehicle: Small,175,0.12681159420289856
2025,model_year,1994,,Light Truck,Sport utility vehicle: Standard,44,0.03188405797101449
2025,model_year,1994,,Light Truck,Van: Cargo,103,0.0746376811594203
2025,model_year,1994,,Light Truck,Van: Passenger,18,0.013043478260869565
2025,model_year,1995,,Car,Compact,464,0.25994397759103643
2025,model_year,1995,,Car,Full-size,83,0.04649859943977591
2025,model_year,1995,,Car,Mid-size,134,0.07507002801120448
2025,model_year,1995,,Car,Minicompact,39,0.021848739495798318
2025,model_year,1995,,Car,Station wagon: Mid-size,19,0.010644257703081233
2025,model_year,1995,,Car,Subcompact,936,0.5243697478991597
2025,model_year,1995,,Car,Two-seater,110,0.06162464985994398
2025,model_year,1995,,Light Truck,Minivan,116,0.055002370791844474
2025,model_year,1995,,Light Truck,Pickup truck: Small,87,0.041251778093883355
2025,model_year,1995,,Light Truck,Pickup truck: Standard,1359,0.6443812233285917
2025,model_year,1995,,Light Truck,Sport utility vehicle: Small,298,0.14129919393077287
2025,model_year,1995,,Light Truck,Sport utility vehicle: Standard,66,0.031294452347083924
2025,model_year,1995,,Light Truck,Van: Cargo,157,0.07444286391654813
2025,model_year,1995,,Light Truck,Van: Passenger,26,0.012328117591275486
2025,model_year,1996,,Car,Compact,574,0.3289398280802292
2025,model_year,1996,,Car,Full-size,60,0.034383954154727794
2025,model_year,1996,,Car,Mid-size,115,0.0659025787965616
2025,model_year,1996,,Car,Minicompact,98,0.056160458452722065
2025,model_year,1996,,Car,Station wagon: Mid-size,14,0.008022922636103151
2025,model_year,1996,,Car,Subcompact,622,0.3564469914040115
2025,model_year,1996,,Car,Two-seater,262,0.1501432664756447
2025,model_year,1996,,Light Truck,Minivan,78,0.03367875647668394
2025,model_year,1996,,Light Truck,Pickup truck: Small,88,0.037996545768566495
2025,model_year,1996,,Light Truck,Pickup truck: Standard,1697,0.7327288428324698
2025,model_year,1996,,Light Truck,Sport utility vehicle: Small,114,0.04922279792746114
