calendar_year_cert_co2e_megagrams,cert_offset,compliance_id,manufacturer_vehicle_cost_dollars,model_year,model_year_cert_co2e_megagrams,strategic_offset,target_co2e_megagrams
5268487.229954796,125440.38146400917,Mazda,10182662484.711117,2055,5268487.229954796,100352.30517120735,5143046.848490787
72960.60254478306,39164.266680484,McLaren,289142101.00937694,2023,72960.60254478306,31331.413344387198,33796.335864299064
64434.75321665173,30166.32503688078,McLaren,292572257.3311324,2024,64434.75321665173,24133.060029504624,34268.42817977095
62455.90851996384,33096.11656554285,McLaren,287615993.38751537,2025,62455.90851996384,26476.89325243428,29359.79195442099
54613.876378077286,28892.541665451437,McLaren,282701042.0452298,2026,54613.876378077286,23114.033332361152,25721.33471262585
51479.46658646836,24472.76457505271,McLaren,279389623.5211853,2027,51479.46658646836,19578.21166004217,27006.70201141565
34441.431007174244,10604.661244269042,McLaren,272893560.4538753,2028,34441.431007174244,8483.728995415235,23836.7697629052
33660.69117313552,12537.502707932545,McLaren,270975218.27839845,2029,33660.69117313552,10030.002166346036,21123.188465202977
28200.39899470359,9844.650048760679,McLaren,267357014.81273732,2030,28200.39899470359,7875.720039008544,18355.748945942913
21353.645361248422,5626.055577111947,McLaren,264081786.4662007,2031,21353.645361248422,4500.844461689558,15727.589784136475
15246.857776100669,2077.95977903715,McLaren,262832170.85025638,2032,15246.857776100669,1662.36782322972,13168.89799706352
16921.615947530187,4056.8695345177257,McLaren,258494617.59962523,2033,16921.615947530187,3245.4956276141806,12864.74641301246
14663.596097540662,1776.4417354652505,McLaren,258461155.74274403,2034,14663.596097540662,1421.1533883722004,12887.154362075411
14003.536498129439,1057.6306164702382,McLaren,259149993.11257046,2035,14003.536498129439,846.1044931761907,12945.9058816592
13889.916875293062,836.7538875552382,McLaren,261066570.63844374,2036,13889.916875293062,669.4031100441906,13053.162987737824
13796.828578872344,683.2198684381856,McLaren,262050615.40069333,2037,13796.828578872344,546.5758947505485,13113.608710434159
13725.805429303875,531.6494101856806,McLaren,263437861.22328863,2038,13725.805429303875,425.3195281485445,13194.156019118194
13584.606867485601,359.24360402032835,McLaren,263840779.40274075,2039,13584.606867485601,287.3948832162627,13225.363263465273
13491.42441568085,212.4580149885387,McLaren,264693786.8687422,2040,13491.42441568085,169.96641199083098,13278.966400692312
13323.664974323332,73.45285534715549,McLaren,263908424.65875015,2041,13323.664974323332,58.7622842777244,13250.212118976176
13102.47326462148,-100.37032552037454,McLaren,262754340.94449285,2042,13102.47326462148,-100.37032552037454,13202.843590141854
16251.737452309453,3146.076156260646,McLaren,259704722.0289125,2043,16251.737452309453,2516.860925008517,13105.661296048807
13576.89381567341,509.4035653394276,McLaren,259581883.03676745,2044,13576.89381567341,407.5228522715421,13067.490250333982
13441.713697004885,340.74113144643707,McLaren,260047660.2186056,2045,13441.713697004885,272.5929051571497,13100.972565558448
13271.804578320764,-14.286549032118273,McLaren,263508873.00015336,2046,13271.804578320764,-14.286549032118273,13286.091127352882
13120.814306849985,-167.45816434730114,McLaren,263355319.10288644,2047,13120.814306849985,-167.45816434730114,13288.272471197286
13374.051586486394,69.74474016610293,McLaren,263240311.28122547,2048,13374.051586486394,55.79579213288235,13304.30684632029
13188.706607186374,-117.70835798399457,McLaren,263092697.92546964,2049,13188.706607186374,-117.70835798399457,13306.414965170368
13023.132855204556,-364.8421123225071,McLaren,264512995.34889948,2050,13023.132855204556,-364.8421123225071,13387.974967527063
12851.093146399859,-606.268433453266,McLaren,265692475.89763656,2051,12851.093146399859,-606.268433453266,13457.361579853125
12667.822194143379,-857.0935502870034,McLaren,266834772.71830687,2052,12667.822194143379,-857.0935502870034,13524.915744430382
12505.630870620795,-1084.3634494448015,McLaren,267929382.33451527,2053,12505.630870620795,-1084.3634494448015,13589.994320065596
12524.207200029297,-1126.1546982626842,McLaren,268980613.55752164,2054,12524.207200029297,-1126.1546982626842,13650.361898291982
12127.415738936494,-1595.6773066826481,McLaren,270171730.5892845,2055,12127.415738936494,-1595.6773066826481,13723.093045619142
17043636.577903625,774618.8916223496,Mercedes Benz,22290947888.949486,2023,17043636.577903625,619695.1132978797,16269017.686281275
16227494.454301618,-340626.477430176,Mercedes Benz,23329758263.389706,2024,16227494.454301618,-340626.477430176,16568120.931731794
16103755.720379144,1469144.5839424636,Mercedes Benz,23552211355.526077,2025,16103755.720379144,1175315.667153971,14634611.13643668
14915891.694006758,1512700.6463584602,Mercedes Benz,23868867099.34797,2026,14915891.694006758,1210160.5170867683,13403191.047648298
14101335.965128386,704846.0893572029,Mercedes Benz,23981673438.514896,2027,14101335.965128386,563876.8714857623,13396489.875771184
12771522.078530557,933863.906849958,Mercedes Benz,23714246920.15557,2028,12771522.078530557,747091.1254799664,11837658.1716806
11377363.289771566,826852.2355790157,Mercedes Benz,23988907546.332024,2029,11377363.289771566,661481.7884632125,10550511.05419255
9430752.289060378,272340.3875690028,Mercedes Benz,24129405922.905823,2030,9430752.289060378,217872.31005520225,9158411.901491376
8200035.7311110515,471880.37617316656,Mercedes Benz,24084646568.66736,2031,8200035.7311110515,377504.30093853327,7728155.354937885
7093742.833483292,679752.9540992379,Mercedes Benz,24243228968.151886,2032,7093742.833483292,543802.3632793904,6413989.879384054
