id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,technology
21743,on,2025,legislated,high,ref,ref,ref,yes,high,0.85676445,other
21792,on,2025,legislated,ref,ref,low,ref,yes,high,0.857614666,other
21841,on,2025,legislated,low,ref,low,ref,yes,high,0.85644249,other
21890,on,2025,legislated,high,ref,low,ref,yes,high,0.856765052,other
21939,on,2025,legislated,ref,ref,high,ref,yes,high,0.857613457,other
21988,on,2025,legislated,low,ref,high,ref,yes,high,0.856446642,other
22037,on,2025,legislated,high,ref,high,ref,yes,high,0.856764037,other
22086,on,2025,legislated,ref,low,ref,ref,no,high,0.857609019,other
22135,on,2025,legislated,low,low,ref,ref,no,high,0.856445088,other
22184,on,2025,legislated,high,ref,ref,ref,no,high,0.85676445,other
22233,on,2025,legislated,high,low,ref,ref,no,high,0.856764148,other
22282,on,2025,legislated,ref,low,low,ref,no,high,0.857610102,other
22331,on,2025,legislated,low,low,low,ref,no,high,0.856442031,other
22380,on,2025,legislated,high,low,low,ref,no,high,0.856763485,other
22429,on,2025,legislated,ref,low,high,ref,no,high,0.857608879,other
22478,on,2025,legislated,low,low,high,ref,no,high,0.856441269,other
22527,on,2025,legislated,high,low,high,ref,no,high,0.856759737,other
22576,on,2025,legislated,ref,low,ref,ref,yes,high,0.857609019,other
22625,on,2025,legislated,low,low,ref,ref,yes,high,0.856445088,other
22674,on,2025,legislated,high,low,ref,ref,yes,high,0.856764148,other
22723,on,2025,legislated,ref,ref,low,ref,no,high,0.857614666,other
22772,on,2025,legislated,ref,low,low,ref,yes,high,0.857610102,other
22821,on,2025,legislated,low,low,low,ref,yes,high,0.856442031,other
22870,on,2025,legislated,high,low,low,ref,yes,high,0.856763485,other
22919,on,2025,legislated,ref,low,high,ref,yes,high,0.857608879,other
22968,on,2025,legislated,low,low,high,ref,yes,high,0.856441269,other
23017,on,2025,legislated,high,low,high,ref,yes,high,0.856759737,other
23066,on,2025,legislated,ref,high,ref,ref,no,high,0.857710196,other
23115,on,2025,legislated,low,high,ref,ref,no,high,0.856531494,other
23164,on,2025,legislated,high,high,ref,ref,no,high,0.856849433,other
23213,on,2025,legislated,ref,high,low,ref,no,high,0.857710789,other
23262,on,2025,legislated,low,ref,low,ref,no,high,0.85644249,other
23311,on,2025,legislated,low,high,low,ref,no,high,0.856532754,other
23360,on,2025,legislated,high,high,low,ref,no,high,0.856850141,other
23409,on,2025,legislated,ref,high,high,ref,no,high,0.857709552,other
23458,on,2025,legislated,low,high,high,ref,no,high,0.856531121,other
23507,on,2025,legislated,high,high,high,ref,no,high,0.856849007,other
23556,on,2025,legislated,ref,high,ref,ref,yes,high,0.857710196,other
23605,on,2025,legislated,low,high,ref,ref,yes,high,0.856531494,other
23654,on,2025,legislated,high,high,ref,ref,yes,high,0.856849433,other
23703,on,2025,legislated,ref,high,low,ref,yes,high,0.857710789,other
23752,on,2025,legislated,low,high,low,ref,yes,high,0.856532754,other
23801,on,2025,legislated,high,ref,low,ref,no,high,0.856765052,other
23850,on,2025,legislated,high,high,low,ref,yes,high,0.856850141,other
23899,on,2025,legislated,ref,high,high,ref,yes,high,0.857709552,other
23948,on,2025,legislated,low,high,high,ref,yes,high,0.856531121,other
23997,on,2025,legislated,high,high,high,ref,yes,high,0.856849007,other
24046,on,2025,legislated,ref,ref,ref,low,no,high,0.859144618,other
24095,on,2025,legislated,low,ref,ref,low,no,high,0.857830928,other
24144,on,2025,legislated,high,ref,ref,low,no,high,0.858312798,other
24193,on,2025,legislated,ref,ref,low,low,no,high,0.859145232,other
24242,on,2025,legislated,low,ref,low,low,no,high,0.857831978,other
24291,on,2025,legislated,high,ref,low,low,no,high,0.858306954,other
24340,on,2025,legislated,ref,ref,high,ref,no,high,0.857613457,other
24389,on,2025,legislated,ref,ref,high,low,no,high,0.859144023,other
24438,on,2025,legislated,low,ref,high,low,no,high,0.857832202,other
24487,on,2025,legislated,high,ref,high,low,no,high,0.858308086,other
24536,on,2025,legislated,ref,ref,ref,low,yes,high,0.859144618,other
24585,on,2025,legislated,low,ref,ref,low,yes,high,0.857830928,other
24634,on,2025,legislated,high,ref,ref,low,yes,high,0.858312798,other
24683,on,2025,legislated,ref,ref,low,low,yes,high,0.859145232,other
24732,on,2025,legislated,low,ref,low,low,yes,high,0.857831978,other
24781,on,2025,legislated,high,ref,low,low,yes,high,0.858306954,other
24830,on,2025,legislated,ref,ref,high,low,yes,high,0.859144023,other
24879,on,2025,legislated,low,ref,high,ref,no,high,0.856446642,other
24928,on,2025,legislated,low,ref,high,low,yes,high,0.857832202,other
24977,on,2025,legislated,high,ref,high,low,yes,high,0.858308086,other
25026,on,2025,legislated,ref,low,ref,low,no,high,0.859126694,other
25075,on,2025,legislated,low,low,ref,low,no,high,0.857812714,other
25124,on,2025,legislated,high,low,ref,low,no,high,0.858289041,other
25173,on,2025,legislated,ref,low,low,low,no,high,0.859127298,other
