id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,eu_name,technology
94010,on,2020,netzero,ref,low,ref,low,no,low,100.0,heavy-duty,ice
94052,on,2020,netzero,low,low,ref,low,no,low,100.0,heavy-duty,ice
94094,on,2020,netzero,high,low,ref,low,no,low,100.0,heavy-duty,ice
94136,on,2020,netzero,ref,low,low,low,no,low,100.0,heavy-duty,ice
94178,on,2020,netzero,low,low,low,low,no,low,100.0,heavy-duty,ice
94220,on,2020,netzero,high,low,low,low,no,low,100.0,heavy-duty,ice
94262,on,2020,netzero,ref,low,high,low,no,low,100.0,heavy-duty,ice
94304,on,2020,netzero,low,low,high,low,no,low,100.0,heavy-duty,ice
94346,on,2020,netzero,high,ref,high,ref,no,low,100.0,heavy-duty,ice
94388,on,2020,netzero,high,low,high,low,no,low,100.0,heavy-duty,ice
94430,on,2020,netzero,ref,low,ref,low,yes,low,100.0,heavy-duty,ice
94472,on,2020,netzero,low,low,ref,low,yes,low,100.0,heavy-duty,ice
94514,on,2020,netzero,high,low,ref,low,yes,low,100.0,heavy-duty,ice
94556,on,2020,netzero,ref,low,low,low,yes,low,100.0,heavy-duty,ice
94598,on,2020,netzero,low,low,low,low,yes,low,100.0,heavy-duty,ice
94640,on,2020,netzero,high,low,low,low,yes,low,100.0,heavy-duty,ice
94682,on,2020,netzero,ref,low,high,low,yes,low,100.0,heavy-duty,ice
94724,on,2020,netzero,low,low,high,low,yes,low,100.0,heavy-duty,ice
94766,on,2020,netzero,high,low,high,low,yes,low,100.0,heavy-duty,ice
94808,on,2020,netzero,ref,ref,ref,ref,yes,low,100.0,heavy-duty,ice
94850,on,2020,netzero,ref,high,ref,low,no,low,100.0,heavy-duty,ice
94892,on,2020,netzero,low,high,ref,low,no,low,100.0,heavy-duty,ice
94934,on,2020,netzero,high,high,ref,low,no,low,100.0,heavy-duty,ice
94976,on,2020,netzero,ref,high,low,low,no,low,100.0,heavy-duty,ice
95018,on,2020,netzero,low,high,low,low,no,low,100.0,heavy-duty,ice
95060,on,2020,netzero,high,high,low,low,no,low,100.0,heavy-duty,ice
95102,on,2020,netzero,ref,high,high,low,no,low,100.0,heavy-duty,ice
95144,on,2020,netzero,low,high,high,low,no,low,100.0,heavy-duty,ice
95186,on,2020,netzero,high,high,high,low,no,low,100.0,heavy-duty,ice
95228,on,2020,netzero,ref,high,ref,low,yes,low,100.0,heavy-duty,ice
18159,on,2025,legislated,ref,ref,ref,ref,no,high,100.0,heavy-duty,ice
18201,on,2025,legislated,low,ref,ref,ref,no,high,100.0,heavy-duty,ice
18243,on,2025,legislated,low,ref,ref,ref,yes,high,100.0,heavy-duty,ice
18285,on,2025,legislated,low,high,ref,low,yes,high,100.0,heavy-duty,ice
18327,on,2025,legislated,high,high,ref,low,yes,high,100.0,heavy-duty,ice
18369,on,2025,legislated,ref,high,low,low,yes,high,100.0,heavy-duty,ice
18411,on,2025,legislated,low,high,low,low,yes,high,100.0,heavy-duty,ice
18453,on,2025,legislated,high,high,low,low,yes,high,100.0,heavy-duty,ice
18495,on,2025,legislated,ref,high,high,low,yes,high,100.0,heavy-duty,ice
18537,on,2025,legislated,low,high,high,low,yes,high,100.0,heavy-duty,ice
18579,on,2025,legislated,high,high,high,low,yes,high,100.0,heavy-duty,ice
18621,on,2025,legislated,high,ref,ref,ref,yes,high,100.0,heavy-duty,ice
18663,on,2025,legislated,ref,ref,low,ref,yes,high,100.0,heavy-duty,ice
18705,on,2025,legislated,low,ref,low,ref,yes,high,100.0,heavy-duty,ice
18747,on,2025,legislated,high,ref,low,ref,yes,high,100.0,heavy-duty,ice
18789,on,2025,legislated,ref,ref,high,ref,yes,high,100.0,heavy-duty,ice
18831,on,2025,legislated,low,ref,high,ref,yes,high,100.0,heavy-duty,ice
18873,on,2025,legislated,high,ref,high,ref,yes,high,100.0,heavy-duty,ice
18915,on,2025,legislated,ref,low,ref,ref,no,high,100.0,heavy-duty,ice
18957,on,2025,legislated,low,low,ref,ref,no,high,100.0,heavy-duty,ice
