id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,fuel_name
86457,on,2020,netzero,low,ref,high,low,yes,high,516.6951154,electricity
86520,on,2020,netzero,high,ref,high,low,yes,high,516.5531385,electricity
86583,on,2020,netzero,ref,low,ref,low,no,high,516.6120327,electricity
86646,on,2020,netzero,low,low,ref,low,no,high,516.6893103,electricity
86709,on,2020,netzero,high,low,ref,low,no,high,516.551999,electricity
86772,on,2020,netzero,ref,low,low,low,no,high,516.6120327,electricity
86835,on,2020,netzero,low,low,low,low,no,high,516.6893103,electricity
86898,on,2020,netzero,high,low,low,low,no,high,516.551999,electricity
86961,on,2020,netzero,ref,low,high,low,no,high,516.6120327,electricity
87024,on,2020,netzero,low,low,high,low,no,high,516.6893103,electricity
87087,on,2020,netzero,high,ref,high,ref,no,high,516.5531385,electricity
87150,on,2020,netzero,high,low,high,low,no,high,516.551999,electricity
87213,on,2020,netzero,ref,low,ref,low,yes,high,516.6120327,electricity
87276,on,2020,netzero,low,low,ref,low,yes,high,516.6893103,electricity
87339,on,2020,netzero,high,low,ref,low,yes,high,516.551999,electricity
87402,on,2020,netzero,ref,low,low,low,yes,high,516.6120327,electricity
87465,on,2020,netzero,low,low,low,low,yes,high,516.6893103,electricity
87528,on,2020,netzero,high,low,low,low,yes,high,516.551999,electricity
87591,on,2020,netzero,ref,low,high,low,yes,high,516.6120327,electricity
87654,on,2020,netzero,low,low,high,low,yes,high,516.6893103,electricity
87717,on,2020,netzero,high,low,high,low,yes,high,516.551999,electricity
87780,on,2020,netzero,ref,ref,ref,ref,yes,high,516.6085162,electricity
87843,on,2020,netzero,ref,high,ref,low,no,high,516.6050993,electricity
87906,on,2020,netzero,low,high,ref,low,no,high,516.6922652,electricity
87969,on,2020,netzero,high,high,ref,low,no,high,516.5500893,electricity
88032,on,2020,netzero,ref,high,low,low,no,high,516.6050993,electricity
88095,on,2020,netzero,low,high,low,low,no,high,516.6922652,electricity
88158,on,2020,netzero,high,high,low,low,no,high,516.5500893,electricity
88221,on,2020,netzero,ref,high,high,low,no,high,516.6050993,electricity
88284,on,2020,netzero,low,high,high,low,no,high,516.6922652,electricity
88347,on,2020,netzero,high,high,high,low,no,high,516.5500893,electricity
88410,on,2020,netzero,ref,high,ref,low,yes,high,516.6050993,electricity
136101,on,2020,netzero,ref,ref,ref,ref,no,low,516.6082088,electricity
136164,on,2020,netzero,low,ref,ref,ref,no,low,516.6951154,electricity
136227,on,2020,netzero,low,ref,ref,ref,yes,low,516.6951154,electricity
136290,on,2020,netzero,low,high,ref,low,yes,low,516.6922652,electricity
136353,on,2020,netzero,high,high,ref,low,yes,low,516.5500893,electricity
136416,on,2020,netzero,ref,high,low,low,yes,low,516.6050993,electricity
136479,on,2020,netzero,low,high,low,low,yes,low,516.6922652,electricity
136542,on,2020,netzero,high,high,low,low,yes,low,516.5500893,electricity
136605,on,2020,netzero,ref,high,high,low,yes,low,516.6050993,electricity
136668,on,2020,netzero,low,high,high,low,yes,low,516.6922652,electricity
136731,on,2020,netzero,high,high,high,low,yes,low,516.5500893,electricity
136794,on,2020,netzero,high,ref,ref,ref,yes,low,516.5531385,electricity
136857,on,2020,netzero,ref,ref,low,ref,yes,low,516.6085162,electricity
136920,on,2020,netzero,low,ref,low,ref,yes,low,516.6951154,electricity
136983,on,2020,netzero,high,ref,low,ref,yes,low,516.5531385,electricity
137046,on,2020,netzero,ref,ref,high,ref,yes,low,516.6085162,electricity
137109,on,2020,netzero,low,ref,high,ref,yes,low,516.6951154,electricity
137172,on,2020,netzero,high,ref,high,ref,yes,low,516.5531385,electricity
137235,on,2020,netzero,ref,low,ref,ref,no,low,516.6120327,electricity
137298,on,2020,netzero,low,low,ref,ref,no,low,516.6893103,electricity
137361,on,2020,netzero,high,ref,ref,ref,no,low,516.5531385,electricity
137424,on,2020,netzero,high,low,ref,ref,no,low,516.551999,electricity
137487,on,2020,netzero,ref,low,low,ref,no,low,516.6120327,electricity
137550,on,2020,netzero,low,low,low,ref,no,low,516.6893103,electricity
137613,on,2020,netzero,high,low,low,ref,no,low,516.551999,electricity
137676,on,2020,netzero,ref,low,high,ref,no,low,516.6120327,electricity
137739,on,2020,netzero,low,low,high,ref,no,low,516.6893103,electricity
137802,on,2020,netzero,high,low,high,ref,no,low,516.551999,electricity
137865,on,2020,netzero,ref,low,ref,ref,yes,low,516.6120327,electricity
137928,on,2020,netzero,low,low,ref,ref,yes,low,516.6893103,electricity
137991,on,2020,netzero,high,low,ref,ref,yes,low,516.551999,electricity
138054,on,2020,netzero,ref,ref,low,ref,no,low,516.6085162,electricity
138117,on,2020,netzero,ref,low,low,ref,yes,low,516.6120327,electricity
138180,on,2020,netzero,low,low,low,ref,yes,low,516.6893103,electricity
138243,on,2020,netzero,high,low,low,ref,yes,low,516.551999,electricity
138306,on,2020,netzero,ref,low,high,ref,yes,low,516.6120327,electricity
138369,on,2020,netzero,low,low,high,ref,yes,low,516.6893103,electricity
138432,on,2020,netzero,high,low,high,ref,yes,low,516.551999,electricity
