id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,fuel_type,fuel_phase
38192,on,2020,netzero,ref,ref,ref,low,yes,high,0.0,biofuel,gas
38220,on,2020,netzero,low,ref,ref,low,yes,high,0.0,biofuel,gas
38248,on,2020,netzero,high,ref,ref,low,yes,high,0.0,biofuel,gas
38276,on,2020,netzero,ref,ref,low,low,yes,high,0.0,biofuel,gas
38304,on,2020,netzero,low,ref,low,low,yes,high,0.0,biofuel,gas
38332,on,2020,netzero,high,ref,low,low,yes,high,0.0,biofuel,gas
38360,on,2020,netzero,ref,ref,high,low,yes,high,0.0,biofuel,gas
38388,on,2020,netzero,low,ref,high,ref,no,high,0.0,biofuel,gas
38416,on,2020,netzero,low,ref,high,low,yes,high,0.0,biofuel,gas
38444,on,2020,netzero,high,ref,high,low,yes,high,0.0,biofuel,gas
38472,on,2020,netzero,ref,low,ref,low,no,high,0.0,biofuel,gas
38500,on,2020,netzero,low,low,ref,low,no,high,0.0,biofuel,gas
38528,on,2020,netzero,high,low,ref,low,no,high,0.0,biofuel,gas
38556,on,2020,netzero,ref,low,low,low,no,high,0.0,biofuel,gas
38584,on,2020,netzero,low,low,low,low,no,high,0.0,biofuel,gas
38612,on,2020,netzero,high,low,low,low,no,high,0.0,biofuel,gas
38640,on,2020,netzero,ref,low,high,low,no,high,0.0,biofuel,gas
38668,on,2020,netzero,low,low,high,low,no,high,0.0,biofuel,gas
38696,on,2020,netzero,high,ref,high,ref,no,high,0.0,biofuel,gas
38724,on,2020,netzero,high,low,high,low,no,high,0.0,biofuel,gas
38752,on,2020,netzero,ref,low,ref,low,yes,high,0.0,biofuel,gas
38780,on,2020,netzero,low,low,ref,low,yes,high,0.0,biofuel,gas
38808,on,2020,netzero,high,low,ref,low,yes,high,0.0,biofuel,gas
38836,on,2020,netzero,ref,low,low,low,yes,high,0.0,biofuel,gas
38864,on,2020,netzero,low,low,low,low,yes,high,0.0,biofuel,gas
38892,on,2020,netzero,high,low,low,low,yes,high,0.0,biofuel,gas
38920,on,2020,netzero,ref,low,high,low,yes,high,0.0,biofuel,gas
38948,on,2020,netzero,low,low,high,low,yes,high,0.0,biofuel,gas
38976,on,2020,netzero,high,low,high,low,yes,high,0.0,biofuel,gas
39004,on,2020,netzero,ref,ref,ref,ref,yes,high,0.0,biofuel,gas
39032,on,2020,netzero,ref,high,ref,low,no,high,0.0,biofuel,gas
39060,on,2020,netzero,low,high,ref,low,no,high,0.0,biofuel,gas
39088,on,2020,netzero,high,high,ref,low,no,high,0.0,biofuel,gas
39116,on,2020,netzero,ref,high,low,low,no,high,0.0,biofuel,gas
