region,period,commodity,demand,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
PEI,2040,T_D_pkm_ldv_t,2.356443837568301,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2045,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
PEI,2045,T_D_pkm_ldv_t,2.540323692061503,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2050,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
QC,2025,T_D_pkm_ldv_t,70.81307933149046,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2030,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
QC,2030,T_D_pkm_ldv_t,77.46186464230875,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2035,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
QC,2035,T_D_pkm_ldv_t,83.86817652491175,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2040,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
QC,2040,T_D_pkm_ldv_t,89.70609203698072,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2045,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
QC,2045,T_D_pkm_ldv_t,96.7061074364293,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2050,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
SK,2025,T_D_pkm_ldv_t,12.79416808486966,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2030,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
SK,2030,T_D_pkm_ldv_t,13.9954387770904,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2035,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
SK,2035,T_D_pkm_ldv_t,15.152900531386283,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2040,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
SK,2040,T_D_pkm_ldv_t,16.207667151222616,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2045,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
SK,2045,T_D_pkm_ldv_t,17.472396413990243,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2050,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
ON,2025,T_D_tkm_ldv_t,14.71622618299524,bn tonne-km,CEUD 2023 freight_light_trucks; CER 2026 Current Measures GDP 2030,T01,5,5,5,5,5,demand-road-freight-light-trucks:composite:1:2f30ff2f3e2510d0
ON,2030,T_D_tkm_ldv_t,16.097962853676453,bn tonne-km,CEUD 2023 freight_light_trucks; CER 2026 Current Measures GDP 2035,T01,5,5,5,5,5,demand-road-freight-light-trucks:composite:1:2f30ff2f3e2510d0
ON,2035,T_D_tkm_ldv_t,17.42930920315332,bn tonne-km,CEUD 2023 freight_light_trucks; CER 2026 Current Measures GDP 2040,T01,5,5,5,5,5,demand-road-freight-light-trucks:composite:1:2f30ff2f3e2510d0
ON,2040,T_D_tkm_ldv_t,18.642532606567986,bn tonne-km,CEUD 2023 freight_light_trucks; CER 2026 Current Measures GDP 2045,T01,5,5,5,5,5,demand-road-freight-light-trucks:composite:1:2f30ff2f3e2510d0
ON,2045,T_D_tkm_ldv_t,20.097261180374336,bn tonne-km,CEUD 2023 freight_light_trucks; CER 2026 Current Measures GDP 2050,T01,5,5,5,5,5,demand-road-freight-light-trucks:composite:1:2f30ff2f3e2510d0
AB,2025,T_D_tkm_ldv_t,6.0303232683430865,bn tonne-km,CEUD 2023 freight_light_trucks; CER 2026 Current Measures GDP 2030,T01,5,5,5,5,5,demand-road-freight-light-trucks:composite:1:2f30ff2f3e2510d0
AB,2030,T_D_tkm_ldv_t,6.596522692864022,bn tonne-km,CEUD 2023 freight_light_trucks; CER 2026 Current Measures GDP 2035,T01,5,5,5,5,5,demand-road-freight-light-trucks:composite:1:2f30ff2f3e2510d0
AB,2035,T_D_tkm_ldv_t,7.142073486229168,bn tonne-km,CEUD 2023 freight_light_trucks; CER 2026 Current Measures GDP 2040,T01,5,5,5,5,5,demand-road-freight-light-trucks:composite:1:2f30ff2f3e2510d0
AB,2040,T_D_tkm_ldv_t,7.639220596387322,bn tonne-km,CEUD 2023 freight_light_trucks; CER 2026 Current Measures GDP 2045,T01,5,5,5,5,5,demand-road-freight-light-trucks:composite:1:2f30ff2f3e2510d0
AB,2045,T_D_tkm_ldv_t,8.235330187165744,bn tonne-km,CEUD 2023 freight_light_trucks; CER 2026 Current Measures GDP 2050,T01,5,5,5,5,5,demand-road-freight-light-trucks:composite:1:2f30ff2f3e2510d0
BCT,2025,T_D_tkm_ldv_t,4.834809994262024,bn tonne-km,CEUD 2023 freight_light_trucks; CER 2026 Current Measures GDP 2030,T01,5,5,5,5,5,demand-road-freight-light-trucks:composite:1:2f30ff2f3e2510d0
BCT,2030,T_D_tkm_ldv_t,5.2887602245572864,bn tonne-km,CEUD 2023 freight_light_trucks; CER 2026 Current Measures GDP 2035,T01,5,5,5,5,5,demand-road-freight-light-trucks:composite:1:2f30ff2f3e2510d0
BCT,2035,T_D_tkm_ldv_t,5.726155420596936,bn tonne-km,CEUD 2023 freight_light_trucks; CER 2026 Current Measures GDP 2040,T01,5,5,5,5,5,demand-road-freight-light-trucks:composite:1:2f30ff2f3e2510d0
BCT,2040,T_D_tkm_ldv_t,6.12474297715948,bn tonne-km,CEUD 2023 freight_light_trucks; CER 2026 Current Measures GDP 2045,T01,5,5,5,5,5,demand-road-freight-light-trucks:composite:1:2f30ff2f3e2510d0
BCT,2045,T_D_tkm_ldv_t,6.602673674888534,bn tonne-km,CEUD 2023 freight_light_trucks; CER 2026 Current Measures GDP 2050,T01,5,5,5,5,5,demand-road-freight-light-trucks:composite:1:2f30ff2f3e2510d0
MB,2025,T_D_tkm_ldv_t,1.5161651918891064,bn tonne-km,CEUD 2023 freight_light_trucks; CER 2026 Current Measures GDP 2030,T01,5,5,5,5,5,demand-road-freight-light-trucks:composite:1:2f30ff2f3e2510d0
MB,2030,T_D_tkm_ldv_t,1.6585210525828165,bn tonne-km,CEUD 2023 freight_light_trucks; CER 2026 Current Measures GDP 2035,T01,5,5,5,5,5,demand-road-freight-light-trucks:composite:1:2f30ff2f3e2510d0
MB,2035,T_D_tkm_ldv_t,1.7956853614433246,bn tonne-km,CEUD 2023 freight_light_trucks; CER 2026 Current Measures GDP 2040,T01,5,5,5,5,5,demand-road-freight-light-trucks:composite:1:2f30ff2f3e2510d0
MB,2040,T_D_tkm_ldv_t,1.9206798451763927,bn tonne-km,CEUD 2023 freight_light_trucks; CER 2026 Current Measures GDP 2045,T01,5,5,5,5,5,demand-road-freight-light-trucks:composite:1:2f30ff2f3e2510d0
MB,2045,T_D_tkm_ldv_t,2.0705558255959025,bn tonne-km,CEUD 2023 freight_light_trucks; CER 2026 Current Measures GDP 2050,T01,5,5,5,5,5,demand-road-freight-light-trucks:composite:1:2f30ff2f3e2510d0
NB,2025,T_D_tkm_ldv_t,0.7559929307527926,bn tonne-km,CEUD 2023 freight_light_trucks; CER 2026 Current Measures GDP 2030,T01,5,5,5,5,5,demand-road-freight-light-trucks:composite:1:2f30ff2f3e2510d0
NB,2030,T_D_tkm_ldv_t,0.826974658147274,bn tonne-km,CEUD 2023 freight_light_trucks; CER 2026 Current Measures GDP 2035,T01,5,5,5,5,5,demand-road-freight-light-trucks:composite:1:2f30ff2f3e2510d0
NB,2035,T_D_tkm_ldv_t,0.8953677649174769,bn tonne-km,CEUD 2023 freight_light_trucks; CER 2026 Current Measures GDP 2040,T01,5,5,5,5,5,demand-road-freight-light-trucks:composite:1:2f30ff2f3e2510d0
