region,period,tech,vintage,cost,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
NB,2045,T_LDV_LTF_GSL_PHEV35_N,2040,177.28380580411738,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_GSL_PHEV35_N,2045,134.6182019713598,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_GSL_PHEV50_N,2025,254.2097169975182,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_GSL_PHEV50_N,2030,248.91344726629063,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_GSL_PHEV50_N,2035,215.84842750788027,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_GSL_PHEV50_N,2040,178.30311220224462,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_GSL_PHEV50_N,2045,134.6182019713598,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTP_BEV150_N,2025,55.609963704321835,$M 2020CAD / bn passenger-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-passenger-light-trucks-4cdff76f:composite:1:4b88395d3869f164
NB,2045,T_LDV_LTP_BEV150_N,2030,54.6193069352715,$M 2020CAD / bn passenger-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-passenger-light-trucks-4cdff76f:composite:1:4b88395d3869f164
NB,2045,T_LDV_LTP_BEV150_N,2035,47.44181433567899,$M 2020CAD / bn passenger-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-passenger-light-trucks-4cdff76f:composite:1:4b88395d3869f164
NB,2045,T_LDV_LTP_BEV150_N,2040,39.21784360455274,$M 2020CAD / bn passenger-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-passenger-light-trucks-4cdff76f:composite:1:4b88395d3869f164
NB,2045,T_LDV_LTP_BEV150_N,2045,29.63467077293967,$M 2020CAD / bn passenger-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-passenger-light-trucks-4cdff76f:composite:1:4b88395d3869f164
NB,2045,T_LDV_LTP_BEV200_N,2025,57.124933971529096,$M 2020CAD / bn passenger-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-passenger-light-trucks-4cdff76f:composite:1:4b88395d3869f164
NB,2045,T_LDV_LTP_BEV200_N,2030,55.97048025182713,$M 2020CAD / bn passenger-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-passenger-light-trucks-4cdff76f:composite:1:4b88395d3869f164
NB,2045,T_LDV_LTP_BEV200_N,2035,48.21029842658491,$M 2020CAD / bn passenger-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-passenger-light-trucks-4cdff76f:composite:1:4b88395d3869f164
NB,2045,T_LDV_LTP_BEV200_N,2040,39.5943036874317,$M 2020CAD / bn passenger-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-passenger-light-trucks-4cdff76f:composite:1:4b88395d3869f164
NB,2045,T_LDV_LTP_BEV200_N,2045,29.63467077293967,$M 2020CAD / bn passenger-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-passenger-light-trucks-4cdff76f:composite:1:4b88395d3869f164
