tech,vintage,fixed,invest,var,var_upstream,var_total,lifetime,emission_per_activity,upstream_emission_per_activity,cost_per_emission,emission_activity_cost,emission_upstream_cost,emission,capfac,lcoe
E_WND_ON-NEW-1,2030.0,35.1,1446.092860934692,0.0,,,30.0,,,,,,0.0,0.5382938448576938,6.413815368455417
E_WND_ON-NEW-1,2035.0,33.8975,1376.763122393863,0.0,,,30.0,,,,,,0.0,0.5404693973484581,6.109918480078839
E_WND_ON-NEW-1,2040.0,32.695,1307.433383853048,0.0,,,30.0,,,,,,0.0,0.5426449498392224,5.808458336511739
E_WND_ON-NEW-1,2045.0,31.4925,1238.1036453122204,0.0,,,30.0,,,,,,0.0,0.5448205023299867,5.5094057468578574
E_WND_ON-NEW-2,2025.0,37.48333333333329,1810.8426455970891,0.0,,,30.0,,,,,,0.0,0.5677223609947615,7.253877084534634
E_WND_ON-NEW-2,2030.0,35.1,1665.9387520654197,0.0,,,30.0,,,,,,0.0,0.5888778389131191,6.466852692373514
E_WND_ON-NEW-2,2035.0,33.8975,1596.6090135245906,0.0,,,30.0,,,,,,0.0,0.5912578301789342,6.186629039366102
E_WND_ON-NEW-2,2040.0,32.695,1527.2792749837758,0.0,,,30.0,,,,,,0.0,0.5936378214447494,5.908652311411481
E_WND_ON-NEW-2,2045.0,31.4925,1457.949536442948,0.0,,,30.0,,,,,,0.0,0.5960178127105645,5.632895591552297
E_WND_ON-NEW-3,2025.0,37.48333333333329,1686.6636787625505,0.0,,,30.0,,,,,,0.0,0.501145899512644,7.816666247950189
E_WND_ON-NEW-3,2030.0,35.1,1541.7597852308807,0.0,,,30.0,,,,,,0.0,0.5198204871974385,6.939488419789043
E_WND_ON-NEW-3,2035.0,33.8975,1472.430046690052,0.0,,,30.0,,,,,,0.0,0.5219213783119777,6.623593167115863
E_WND_ON-NEW-3,2040.0,32.695,1403.1003081492368,0.0,,,30.0,,,,,,0.0,0.524022269426517,6.3102308660678235
E_WND_ON-NEW-3,2045.0,31.4925,1333.7705696084097,0.0,,,30.0,,,,,,0.0,0.5261231605410563,5.999371173242607
E_WND_ON-NEW-4,2025.0,37.48333333333329,1676.132676079875,0.0,,,30.0,,,,,,0.0,0.4714717138194389,8.27250704802077
E_WND_ON-NEW-4,2030.0,35.1,1531.228782548205,0.0,,,30.0,,,,,,0.0,0.4890405293463816,7.341418294244092
E_WND_ON-NEW-4,2035.0,33.8975,1461.899044007376,0.0,,,30.0,,,,,,0.0,0.49101702109316264,7.005780991043994
E_WND_ON-NEW-4,2040.0,32.695,1392.5693054665614,0.0,,,30.0,,,,,,0.0,0.4929935128399436,6.672834937697782
E_WND_ON-NEW-4,2045.0,31.4925,1323.2395669257332,0.0,,,30.0,,,,,,0.0,0.4949700045867245,6.342547894475226
E_WND_ON-NEW-5,2025.0,37.48333333333329,1670.1149995121361,0.0,,,30.0,,,,,,0.0,0.4683849909769455,8.306238868730416
E_WND_ON-NEW-5,2030.0,35.1,1525.2111059804663,0.0,,,30.0,,,,,,0.0,0.485838783560596,7.369760817772739
E_WND_ON-NEW-5,2035.0,33.8975,1455.8813674396374,0.0,,,30.0,,,,,,0.0,0.4878023352262566,7.031992278453118
E_WND_ON-NEW-5,2040.0,32.695,1386.5516288988224,0.0,,,30.0,,,,,,0.0,0.4897658868919172,6.696932077936795
E_WND_ON-NEW-5,2045.0,31.4925,1317.2218903579949,0.0,,,30.0,,,,,,0.0,0.4917294385575777,6.364547771777093
E_WND_ON-NEW-6,2025.0,37.48333333333329,1606.1598736939764,0.0,,,30.0,,,,,,0.0,0.4803484767982353,7.8839645632195365
E_WND_ON-NEW-6,2030.0,35.1,1461.2559801623063,0.0,,,30.0,,,,,,0.0,0.4982480740172279,6.978548565769556
E_WND_ON-NEW-6,2035.0,33.8975,1391.9262416214772,0.0,,,30.0,,,,,,0.0,0.5002617787043646,6.650028340821013
E_WND_ON-NEW-6,2040.0,32.695,1322.5965030806622,0.0,,,30.0,,,,,,0.0,0.5022754833915012,6.324142298661338
E_WND_ON-NEW-6,2045.0,31.4925,1253.2667645398346,0.0,,,30.0,,,,,,0.0,0.5043152617051175,6.000548632512746
E_WND_ON-NEW-7,2025.0,37.48333333333329,1577.2338344670547,0.0,,,30.0,,,,,,0.0,0.4548808947054305,8.222489830168513
E_WND_ON-NEW-7,2030.0,35.1,1432.329940935385,0.0,,,30.0,,,,,,0.0,0.4718314736936558,7.27007784592408
E_WND_ON-NEW-7,2035.0,33.8975,1363.0002023945558,0.0,,,30.0,,,,,,0.0,0.4737384138298311,6.923563874158025
E_WND_ON-NEW-7,2040.0,32.695,1293.670463853741,0.0,,,30.0,,,,,,0.0,0.4756453539660064,6.579828364937678
E_WND_ON-NEW-7,2045.0,31.4925,1224.3407253129133,0.0,,,30.0,,,,,,0.0,0.47755229410218164,6.238838033771531
E_WND_ON-NEW-8,2025.0,37.48333333333329,1685.499979484625,0.0,,,30.0,,,,,,0.0,0.48617784016842563,8.053447257524692
E_WND_ON-NEW-8,2030.0,35.1,1540.5960859529553,0.0,,,30.0,,,,,,0.0,0.5042946614682877,7.149402685193824
E_WND_ON-NEW-8,2035.0,33.8975,1471.2663474121264,0.0,,,30.0,,,,,,0.0,0.5063328038645222,6.823796926335322
E_WND_ON-NEW-8,2040.0,32.695,1401.9366088713114,0.0,,,30.0,,,,,,0.0,0.5083709462607565,6.500801981121781
E_WND_ON-NEW-8,2045.0,31.4925,1332.6068703304838,0.0,,,30.0,,,,,,0.0,0.510409088656991,6.180386573405626
E_WND_ON-NEW-9,2025.0,36.67858025664434,1706.1404078313049,0.0,,,30.0,,,,,,0.0,0.4695784447220856,8.354900823199989
E_WND_ON-NEW-9,2030.0,34.16544803997414,1546.5647680682798,0.0,,,30.0,,,,,,0.0,0.4870767098967181,7.361114337721542
E_WND_ON-NEW-9,2035.0,33.0018877049752,1476.4047438238606,0.0,,,30.0,,,,,,0.0,0.4890452647288639,7.023941848528826
