region,tech,vintage,capacity,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
ON,T_LDV_C_BEV150_EX,2015,2.674683469899783,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
ON,T_LDV_C_DSL_EX,2015,30.335333581273563,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
ON,T_LDV_C_GSL_EX,2015,1020.4527312692699,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
ON,T_LDV_C_GSL_HEV_EX,2015,23.506684337953555,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
ON,T_LDV_C_GSL_PHEV35_EX,2015,2.012131779031724,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
PEI,T_LDV_C_BEV150_EX,2015,0.006454100894457188,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
PEI,T_LDV_C_DSL_EX,2015,0.20367854916111858,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
PEI,T_LDV_C_GSL_EX,2015,16.832087730126883,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
PEI,T_LDV_C_GSL_HEV_EX,2015,0.37192925726508885,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
PEI,T_LDV_C_GSL_PHEV35_EX,2015,0.003004239245921153,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
QC,T_LDV_C_BEV150_EX,2015,2.727256727891824,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
QC,T_LDV_C_DSL_EX,2015,15.962444271984861,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
QC,T_LDV_C_GSL_EX,2015,769.2783404659584,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
QC,T_LDV_C_GSL_HEV_EX,2015,16.723764673621574,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
QC,T_LDV_C_GSL_PHEV35_EX,2015,3.5372177293034026,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
SK,T_LDV_C_BEV150_EX,2015,0.029795307126847404,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
SK,T_LDV_C_DSL_EX,2015,2.6044326762403047,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
SK,T_LDV_C_GSL_EX,2015,68.40698912084443,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
SK,T_LDV_C_GSL_HEV_EX,2015,0.9943315983613226,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
SK,T_LDV_C_GSL_PHEV35_EX,2015,0.049148101287530534,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
AB,T_LDV_C_BEV150_EX,2020,8.664988993033706,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2020:composite:1:19459e4057ce0243
AB,T_LDV_C_DSL_EX,2020,0.5552298366265257,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2020:composite:1:19459e4057ce0243
AB,T_LDV_C_GSL_EX,2020,255.36063955531665,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2020:composite:1:19459e4057ce0243
AB,T_LDV_C_GSL_HEV_EX,2020,7.334114267316229,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2020:composite:1:19459e4057ce0243
AB,T_LDV_C_GSL_PHEV35_EX,2020,5.129022505336717,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2020:composite:1:19459e4057ce0243
BCT,T_LDV_C_BEV150_EX,2020,29.161636197159872,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2020:composite:1:19459e4057ce0243
BCT,T_LDV_C_DSL_EX,2020,1.1932292350227545,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2020:composite:1:19459e4057ce0243
BCT,T_LDV_C_GSL_EX,2020,345.20147806636766,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2020:composite:1:19459e4057ce0243
BCT,T_LDV_C_GSL_HEV_EX,2020,14.432797679972873,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2020:composite:1:19459e4057ce0243
BCT,T_LDV_C_GSL_PHEV35_EX,2020,8.266428079705813,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2020:composite:1:19459e4057ce0243
MB,T_LDV_C_BEV150_EX,2020,0.5012278516645621,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2020:composite:1:19459e4057ce0243
MB,T_LDV_C_DSL_EX,2020,0.16166550745807823,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2020:composite:1:19459e4057ce0243
MB,T_LDV_C_GSL_EX,2020,71.22782038844277,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2020:composite:1:19459e4057ce0243
MB,T_LDV_C_GSL_HEV_EX,2020,1.3639898406516109,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2020:composite:1:19459e4057ce0243
MB,T_LDV_C_GSL_PHEV35_EX,2020,0.25221551103743445,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2020:composite:1:19459e4057ce0243
NB,T_LDV_C_BEV150_EX,2020,0.17877033807601375,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2020:composite:1:19459e4057ce0243
NB,T_LDV_C_DSL_EX,2020,0.05932921707224827,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2020:composite:1:19459e4057ce0243
