,Charging Profile
872,603.4991749
873,554.2139535
874,523.1657253
875,405.7465787
876,283.7764343
877,195.4771754
878,161.3260977
879,320.4371953
880,460.8043792
881,611.965543
882,626.0231683
883,584.8192319
884,455.5932041
885,363.0121459
886,312.0071325
887,300.6004942
888,173.2327156
889,161.9191625
890,220.6469283
891,205.5551673
892,234.3967959
893,192.9450647
894,340.9618531
895,562.5645358
896,603.4991749
897,554.2139535
898,523.1657253
899,405.7465787
900,283.7764343
901,195.4771754
902,161.3260977
903,320.4371953
904,460.8043792
905,611.965543
906,626.0231683
907,584.8192319
908,455.5932041
909,363.0121459
910,312.0071325
911,300.6004942
912,173.2327156
913,161.9191625
914,220.6469283
915,205.5551673
916,234.3967959
917,192.9450647
918,340.9618531
919,562.5645358
920,603.4991749
921,554.2139535
922,523.1657253
923,405.7465787
924,283.7764343
925,195.4771754
926,161.3260977
927,320.4371953
928,460.8043792
929,611.965543
930,626.0231683
931,584.8192319
932,455.5932041
933,363.0121459
934,312.0071325
935,300.6004942
936,173.2327156
937,161.9191625
938,220.6469283
939,205.5551673
940,234.3967959
941,192.9450647
942,340.9618531
943,562.5645358
944,603.4991749
945,554.2139535
946,523.1657253
947,405.7465787
948,283.7764343
949,195.4771754
950,161.3260977
951,320.4371953
952,460.8043792
953,611.965543
954,626.0231683
955,584.8192319
956,455.5932041
957,363.0121459
958,312.0071325
959,300.6004942
960,212.4721277
961,160.1661613
962,131.4187172
963,143.7833087
964,136.5912663
965,116.1501046
966,294.0742786
967,612.4520029
968,640.4663731
969,590.2064193
970,407.7357057
971,330.3593912
972,252.2656195
973,181.9528357
974,177.7920523
975,282.8644213
976,440.4919918
977,569.2599166
978,642.9513982
979,677.9881246
980,422.2859382
981,299.6294355
982,295.4846204
983,316.1628145
984,173.2327156
985,161.9191625
986,220.6469283
987,205.5551673
988,234.3967959
989,192.9450647
990,340.9618531
991,562.5645358
992,603.4991749
993,554.2139535
994,523.1657253
995,405.7465787
996,283.7764343
997,195.4771754
998,161.3260977
999,320.4371953
1000,460.8043792
1001,611.965543
1002,626.0231683
1003,584.8192319
1004,455.5932041
1005,363.0121459
1006,312.0071325
1007,300.6004942
1008,173.2327156
1009,161.9191625
1010,220.6469283
1011,205.5551673
1012,234.3967959
1013,192.9450647
1014,340.9618531
1015,562.5645358
1016,603.4991749
1017,554.2139535
1018,523.1657253
1019,405.7465787
1020,283.7764343
1021,195.4771754
1022,161.3260977
1023,320.4371953
1024,460.8043792
1025,611.965543
1026,626.0231683
1027,584.8192319
1028,455.5932041
1029,363.0121459
1030,312.0071325
1031,300.6004942
1032,166.8599702
1033,141.6080993
1034,157.0998511
1035,137.8612514
1036,111.7545594
1037,333.5972908
1038,472.6999737
1039,489.8737057
1040,588.6960462
1041,433.7320535
1042,318.8539787
1043,219.6926204
1044,168.5614256
1045,133.2957351
1046,292.7370485
1047,434.1463121
1048,583.2479672
1049,608.4287061
1050,549.1749365
1051,475.5433744
1052,415.1376116
1053,369.3409097
1054,307.3351596
1055,211.8188126
1056,212.4721277
1057,160.1661613
1058,131.4187172
1059,143.7833087
1060,136.5912663
1061,116.1501046
1062,294.0742786
1063,612.4520029
1064,640.4663731
1065,590.2064193
1066,407.7357057
1067,330.3593912
1068,252.2656195
1069,181.9528357
1070,177.7920523
1071,282.8644213
1072,440.4919918
1073,569.2599166
1074,642.9513982
1075,677.9881246
1076,422.2859382
1077,299.6294355
1078,295.4846204
1079,316.1628145
1080,207.1981254
1081,146.1402461
1082,162.8172611
1083,117.4459152
1084,115.3609341
1085,184.9423299
1086,324.2270721
1087,583.8745348
1088,703.9563083
1089,708.1227106
1090,514.6012594
1091,336.9974987
1092,249.3391782
1093,182.5636444
1094,161.6817319
1095,269.4424956
1096,396.2119893
1097,528.239248
1098,641.3655628
1099,555.3730658
1100,426.9700546
1101,346.5317107
1102,313.617835
1103,333.0596675
1104,173.2327156
1105,161.9191625
1106,220.6469283
1107,205.5551673
1108,234.3967959
1109,192.9450647
1110,340.9618531
1111,562.5645358
1112,603.4991749
1113,554.2139535
1114,523.1657253
1115,405.7465787
1116,283.7764343
1117,195.4771754
1118,161.3260977
1119,320.4371953
1120,460.8043792
1121,611.965543
1122,626.0231683
1123,584.8192319
