region,nrcan_ceud_class,age,weighted_vmt_km,normalized_utilization,weight_source
BCT,Medium Trucks,9,22805.910907088666,0.5581829390595292,national_wards
BCT,Medium Trucks,10,20770.475175034073,0.5083649114519639,national_wards
BCT,Medium Trucks,11,18946.4882535932,0.46372217015722567,national_wards
BCT,Medium Trucks,12,17283.694534902737,0.42302469094976825,national_wards
BCT,Medium Trucks,13,15767.0518163291,0.3859043104657099,national_wards
BCT,Medium Trucks,14,14396.434549480957,0.35235795586264795,national_wards
BCT,Medium Trucks,15,13133.280612523431,0.32144180522573507,national_wards
BCT,Medium Trucks,16,11981.81871285597,0.29325935770193645,national_wards
BCT,Medium Trucks,17,10921.07223344698,0.26729720298311216,national_wards
BCT,Medium Trucks,18,9955.328457291209,0.2436602738751623,national_wards
BCT,Medium Trucks,19,9073.99196036117,0.22208924353302725,national_wards
BCT,Medium Trucks,20,8272.054503657153,0.20246153349116094,national_wards
BCT,Medium Trucks,21,7540.7480015546425,0.18456254167452435,national_wards
BCT,Medium Trucks,22,6875.724521764627,0.16828585086374834,national_wards
BCT,Medium Trucks,23,6268.816711330342,0.1534315621336676,national_wards
BCT,Medium Trucks,24,5715.48526883039,0.13988857443600583,national_wards
BCT,Medium Trucks,25,5211.441836018707,0.12755192864769713,national_wards
MB,Car,0,25623.975168000004,1.0,ontario_mto
MB,Car,1,24750.101376000002,0.9658962441904283,ontario_mto
MB,Car,2,23921.289216000005,0.9335510614244442,ontario_mto
MB,Car,3,23139.148032000005,0.9030272578821756,ontario_mto
MB,Car,4,22397.240448000004,0.8740736088431101,ontario_mto
MB,Car,5,21695.566464000003,0.8466901143072478,ontario_mto
MB,Car,6,21030.907392,0.8207511619143323,ontario_mto
MB,Car,7,20401.653888,0.7961939454842355,ontario_mto
MB,Car,8,19802.977920000005,0.7728300464765734,ontario_mto
MB,Car,9,19234.879488000002,0.7506594648913453,ontario_mto
MB,Car,10,18692.530560000003,0.7294937821881673,ontario_mto
MB,Car,11,18175.931136000003,0.7093329983670393,ontario_mto
MB,Car,12,17680.253184,0.6899886948875769,ontario_mto
MB,Car,13,17203.88736,0.671398065569652,ontario_mto
MB,Car,14,16745.22432,0.6534983042331365,ontario_mto
MB,Car,15,16301.045376000002,0.6361637985177742,ontario_mto
MB,Car,16,15868.131840000002,0.6192689360633086,ontario_mto
MB,Car,17,15444.874368000003,0.6027509106896118,ontario_mto
MB,Car,18,15028.054272000001,0.5864841100364275,ontario_mto
MB,Car,19,14614.452864000003,0.5703429217434995,ontario_mto
MB,Car,20,14204.070144000001,0.5543273458108278,ontario_mto
MB,Car,21,13792.078080000001,0.5382489636980279,ontario_mto
MB,Car,22,13378.476672,0.5221077754050998,ontario_mto
MB,Car,23,12956.828544,0.5056525562115312,ontario_mto
MB,Car,24,12528.743040000001,0.48894611229745005,ontario_mto
MB,Car,25,12087.782784,0.4717372189423439,ontario_mto
MB,Heavy Trucks,0,176995.97180256236,0.9251723889714066,statcan_tonne_km
MB,Heavy Trucks,1,191311.34252649275,1.0,statcan_tonne_km
MB,Heavy Trucks,2,180097.60351573792,0.9413848710554005,statcan_tonne_km
MB,Heavy Trucks,3,166294.29912001558,0.8692338725132682,statcan_tonne_km
MB,Heavy Trucks,4,153365.48249104616,0.8016538928935076,statcan_tonne_km
MB,Heavy Trucks,5,141611.70217276344,0.7402159239625485,statcan_tonne_km
MB,Heavy Trucks,6,131775.29187386608,0.6888002045964309,statcan_tonne_km
MB,Heavy Trucks,7,121678.18331614684,0.6360217941562816,statcan_tonne_km
MB,Heavy Trucks,8,112355.69541754683,0.5872923891169068,statcan_tonne_km
MB,Heavy Trucks,9,103747.70247225132,0.5422977075072501,statcan_tonne_km
MB,Heavy Trucks,10,95800.25880889923,0.5007557709006869,statcan_tonne_km
MB,Heavy Trucks,11,88462.12276103687,0.4623987349249125,statcan_tonne_km
MB,Heavy Trucks,12,81686.04337484948,0.4269796149882625,statcan_tonne_km
MB,Heavy Trucks,13,75429.34038697602,0.39427531787108017,statcan_tonne_km
MB,Heavy Trucks,14,69652.2948805091,0.36407822955329305,statcan_tonne_km
MB,Heavy Trucks,15,64318.66396808765,0.3361989055049405,statcan_tonne_km
MB,Heavy Trucks,16,59392.204762350615,0.3104479011960621,statcan_tonne_km
MB,Heavy Trucks,17,54844.2064128443,0.2866751426682895,statcan_tonne_km
MB,Heavy Trucks,18,50644.863408207646,0.264724834081358,statcan_tonne_km
MB,Heavy Trucks,19,46767.58892507958,0.24445800393985118,statcan_tonne_km
MB,Heavy Trucks,20,43186.89080100642,0.2257414026302487,statcan_tonne_km
MB,Heavy Trucks,21,39881.26758617342,0.20846264031966985,statcan_tonne_km
MB,Heavy Trucks,22,36828.18846458057,0.1925039465941786,statcan_tonne_km
MB,Heavy Trucks,23,34009.370674413105,0.17776975596574204,statcan_tonne_km
MB,Heavy Trucks,24,31405.759429217364,0.16416046751053615,statcan_tonne_km
MB,Heavy Trucks,25,29001.518630539642,0.1515933046495846,statcan_tonne_km
MB,Light Truck,0,27179.094397315643,1.0,ontario_mto
MB,Light Truck,1,26276.927893908207,0.9668066017866829,ontario_mto
MB,Light Truck,2,25409.555457101604,0.9348933811279301,ontario_mto
MB,Light Truck,3,24573.372683181056,0.9041277212535844,ontario_mto
MB,Light Truck,4,23771.27902557273,0.8746163017087322,ontario_mto
MB,Light Truck,5,22998.060736561853,0.8461672931543027,ontario_mto
MB,Light Truck,6,22255.39364128936,0.8188423541988001,ontario_mto
MB,Light Truck,7,21542.120592610943,0.7925989099452321,ontario_mto
MB,Light Truck,8,20855.475099382307,0.7673351729276936,ontario_mto
MB,Light Truck,9,20195.90935845914,0.7430677808181055,ontario_mto
MB,Light Truck,10,19561.042594411912,0.7197091377828935,ontario_mto
MB,Light Truck,11,18950.94128838155,0.6972616898616478,ontario_mto
MB,Light Truck,12,18363.22466493852,0.6756378412207941,ontario_mto
MB,Light Truck,13,17798.34492093852,0.6548542295322535,ontario_mto
MB,Light Truck,14,17253.14984952248,0.6347948756977899,ontario_mto
MB,Light Truck,15,16727.639450690396,0.6154597797174033,ontario_mto
MB,Light Truck,16,16222.3324024389,0.5968680253026056,ontario_mto
MB,Light Truck,17,15732.400672767986,0.5788419747466569,ontario_mto
MB,Light Truck,18,15259.520086818588,0.5614432866580611,ontario_mto
MB,Light Truck,19,14802.533497446402,0.544629386139826,ontario_mto
MB,Light Truck,20,14359.06012922189,0.528312677358377,ontario_mto
MB,Light Truck,21,13928.328550715521,0.5124647770490528,ontario_mto
MB,Light Truck,22,13509.633811638689,0.4970597479867826,ontario_mto
MB,Light Truck,23,13102.204480561853,0.48206920690690486,ontario_mto
MB,Light Truck,24,12704.045497770252,0.46741974960817584,ontario_mto
MB,Light Truck,25,12313.614000404812,0.4530546095612727,ontario_mto
MB,Medium Trucks,0,36887.35918661296,0.9028314917484078,national_wards
MB,Medium Trucks,1,40491.35814375565,0.9910406730637702,national_wards
MB,Medium Trucks,2,40857.41306517514,1.0,national_wards
MB,Medium Trucks,3,39218.505337555405,0.959887139085253,national_wards
MB,Medium Trucks,4,36436.19561489739,0.8917890997350937,national_wards
MB,Medium Trucks,5,33172.869887926696,0.8119180192590711,national_wards
MB,Medium Trucks,6,30202.790231841936,0.7392242427013892,national_wards
MB,Medium Trucks,7,27501.851841930322,0.673117796226104,national_wards
MB,Medium Trucks,8,25043.32711951589,0.6129445121639773,national_wards
MB,Medium Trucks,9,22805.910907088666,0.5581829390595292,national_wards
MB,Medium Trucks,10,20770.475175034073,0.5083649114519639,national_wards
MB,Medium Trucks,11,18946.4882535932,0.46372217015722567,national_wards
MB,Medium Trucks,12,17283.694534902737,0.42302469094976825,national_wards
MB,Medium Trucks,13,15767.0518163291,0.3859043104657099,national_wards
MB,Medium Trucks,14,14396.434549480957,0.35235795586264795,national_wards
MB,Medium Trucks,15,13133.280612523431,0.32144180522573507,national_wards
MB,Medium Trucks,16,11981.81871285597,0.29325935770193645,national_wards
MB,Medium Trucks,17,10921.07223344698,0.26729720298311216,national_wards
MB,Medium Trucks,18,9955.328457291209,0.2436602738751623,national_wards
MB,Medium Trucks,19,9073.99196036117,0.22208924353302725,national_wards
MB,Medium Trucks,20,8272.054503657153,0.20246153349116094,national_wards
MB,Medium Trucks,21,7540.7480015546425,0.18456254167452435,national_wards
MB,Medium Trucks,22,6875.724521764627,0.16828585086374834,national_wards
MB,Medium Trucks,23,6268.816711330342,0.1534315621336676,national_wards
MB,Medium Trucks,24,5715.48526883039,0.13988857443600583,national_wards
MB,Medium Trucks,25,5211.441836018707,0.12755192864769713,national_wards
NB,Car,0,25623.975168000004,1.0,ontario_mto
NB,Car,1,24750.101376000002,0.9658962441904283,ontario_mto
NB,Car,2,23921.289216000005,0.9335510614244442,ontario_mto
NB,Car,3,23139.148032000005,0.9030272578821756,ontario_mto
NB,Car,4,22397.240448000004,0.8740736088431101,ontario_mto
NB,Car,5,21695.566464000003,0.8466901143072478,ontario_mto
NB,Car,6,21030.907392,0.8207511619143323,ontario_mto
NB,Car,7,20401.653888,0.7961939454842355,ontario_mto
NB,Car,8,19802.977920000005,0.7728300464765734,ontario_mto
NB,Car,9,19234.879488000002,0.7506594648913453,ontario_mto
NB,Car,10,18692.530560000003,0.7294937821881673,ontario_mto
NB,Car,11,18175.931136000003,0.7093329983670393,ontario_mto
NB,Car,12,17680.253184,0.6899886948875769,ontario_mto
NB,Car,13,17203.88736,0.671398065569652,ontario_mto
NB,Car,14,16745.22432,0.6534983042331365,ontario_mto
NB,Car,15,16301.045376000002,0.6361637985177742,ontario_mto
NB,Car,16,15868.131840000002,0.6192689360633086,ontario_mto
NB,Car,17,15444.874368000003,0.6027509106896118,ontario_mto
NB,Car,18,15028.054272000001,0.5864841100364275,ontario_mto
NB,Car,19,14614.452864000003,0.5703429217434995,ontario_mto
NB,Car,20,14204.070144000001,0.5543273458108278,ontario_mto
NB,Car,21,13792.078080000001,0.5382489636980279,ontario_mto
NB,Car,22,13378.476672,0.5221077754050998,ontario_mto
NB,Car,23,12956.828544,0.5056525562115312,ontario_mto
NB,Car,24,12528.743040000001,0.48894611229745005,ontario_mto
NB,Car,25,12087.782784,0.4717372189423439,ontario_mto
NB,Heavy Trucks,0,173462.93405422487,0.9303934751795506,statcan_tonne_km
